name,email,order_date,price,quantity,address
ALLISON HILL,jillrhodes@miller.com,12/09/2023,$126.22,2,  
PHILLIP GARCIA,howardmaurice@yahoo.com,2024-12-01,,10,
Jesse_Flowers,invalid_email,01-04-2024,227.36 USD,ten,  
Jonathan Wilkerson,josephwright@hotmail,05-07-2024,111.58 USD,2,  
TRICIA VALENCIA,maldonadoamanda@mack-peterson,16/02/2024,303.84,8,  
LINDA BURNS,,21/05/2023,,ten,"227 Joseph Well, Brandtside, VA 90923"
ERIC CARNEY,clamgmail.com,24/09/2023,$492.68,???,UNKNOWN
  Carlos Walls  ,kristenaguirre@gmail,05-28-2023,$188.24,5,
Shannon_Jones,pearsonambernovak.com,01-25-2024,233.82 USD,ten,UNKNOWN
EDWARD NOVAK,brian97calhoun.net,2023-05-17,403.5!!,5,
Krystal_Stewart,elizabethedwards@yahoo,01-17-2024,329.44!!,ten,UNKNOWN
william roman,sarah12wilson-rodriguez.net,14/07/2023,374.77!!,???,UNKNOWN
mandy green,hhoffmangmail.com,,50.0,ten,
  Mary Gomez  ,,2024-11-26,,,"25634 Kristin Coves Suite 073, Port Samantha, ME 30332"
MATTHEW ROSS,,14/04/2024,385.46 USD,,  
joseph drake,invalid_email,2024-04-12,477.14 USD,ten,"6482 Robert Light Apt. 994, Kelleytown, LA 28050"
Kevin Pena,,03-17-2024,$80.66,9,UNKNOWN
  David Alvarez  ,operry@lee.com,2023-07-08,464.9 USD,4,
Tiffany_Vance,vmerritt@yahoo.com,2024-02-28,367.29,ten,
  David Benson  ,,01-12-2024,,ten,
Morgan Marsh,invalid_email,28/09/2024,,8,
jamie walton,mary70@hotmail.com,07/05/2024,,ten,"10033 Christine Garden Apt. 719, South Holly, MN 22493"
TRACEY HIGGINS,daniel04@byrd.com,05-14-2023,38.36,6,
Tyler Reid,invalid_email,10-11-2023,,???,
  Mr. David Ramirez  ,invalid_email,09-25-2024,51.69!!,???,  
  Joseph Coleman  ,jacqueline44@yahoo.com,2023-09-11,35.0 USD,ten,
adrian ferguson,,,$74.39,???,
ROBERT AVERY,invalid_email,2024-02-28,,1,
christine clark,invalid_email,,243.27!!,ten,  
SAMANTHA JONES,invalid_email,13/10/2023,463.63!!,???,  
joseph ramos,wendygrahamyahoo.com,25/05/2023,112.76,10,UNKNOWN
APRIL BOOTH,hbrown@yahoo.com,,,3,"34824 Gilmore Oval Apt. 093, West Andrea, MT 12718"
ryan wilson,tyronemoran@thornton.info,2023-09-21,$339.23,7,
Sara_Carpenter,,2024-05-17,311.59!!,,UNKNOWN
leslie kane,foxstephen@hotmail,07-05-2023,$136.48,???,UNKNOWN
CYNTHIA COHEN,juliehamilton@gmail.com,,,2,
Rebecca_Jackson,pharvey@durham-thomas.info,07-23-2024,466.96,,UNKNOWN
kenneth andrews,invalid_email,22/03/2023,,,"743 Robinson Field, Ericaberg, CT 82743"
ellen alexander,christopherphillips@hotmail,2024-02-01,,,UNKNOWN
Bernard_Webster,zcoffeydiaz.net,19/06/2023,105.78 USD,???,UNKNOWN
TRACY TORRES,davispaige@gmail.com,,415.53,,
Vanessa Howard,james17gmail.com,,278.08!!,9,"53293 Maria Plaza, New Jason, IN 43565"
RACHEL CARLSON,vanessafernandezgmail.com,2023-06-09,,ten,  
richard palmer,ngordon@acosta.net,05/11/2023,185.5,ten,
KIMBERLY NGUYEN,bwagner@gmail,,$487.05,ten,
  Andrea Decker  ,vdavis@cain-hawkins.org,05-25-2024,369.6 USD,ten,UNKNOWN
holly farmer,xbruce@austin.com,,436.72!!,ten,  
Paula Bradley,moorekaren@craig.info,08-11-2024,$115.35,,UNKNOWN
DANIEL TAYLOR,mark07@hotmail,13/02/2024,322.53!!,,"388 Jones Wall Apt. 607, Port Lawrencechester, MO 93496"
DONNA SULLIVAN,lauriemontgomery@hotmail,02-27-2025,292.39 USD,1,  
Tyler Brewer,curtisscott@morrison,,,???,
Thomas Cunningham,edward17@yahoo.com,,,,  
KEVIN BEST,kstout@lopez,28/02/2024,333.38,,  
Meghan Williams,invalid_email,22/10/2023,$279.43,???,
Erin_Anderson,,31/10/2024,206.01,,
  Rhonda Martin  ,,24/02/2024,235.17!!,???,
AMY CASTILLO,dawsonzachary@gmail,23/10/2023,$51.23,ten,
cynthia vang,anthonygalvan@hotmail.com,2024-08-01,126.2!!,10,  
  Ashley Roberts  ,,03-05-2024,360.58!!,???,
heather ashley,cmarks@hughes.com,2024-11-17,$390.32,???,"195 Bradley Plains, Lisaburgh, WI 90243"
Michael_Welch,baldwinsherrycarter.com,2025-02-01,230.95!!,,  
Tyler_Morgan,,,,ten,  
  Jessica Norris  ,wwilliams@hotmail,02-16-2024,420.73 USD,???,
James Bradley,invalid_email,2023-12-26,$358.2,,UNKNOWN
Jodi_Roach,cochrantammy@yahoo.com,08-15-2024,79.66!!,ten,"844 Jennifer Squares, Port Michael, DE 26843"
  Cynthia Snyder  ,invalid_email,30/01/2025,273.59!!,ten,  
  Betty Shaw  ,,2023-12-09,,???,"USNV Singleton, FPO AA 26230"
Krista Martinez,shawgary@hotmail,,427.46!!,ten,  
dr. michael evans,moorerobert@harris-lawson,,245.39!!,???,
  Sean Moore  ,james27hotmail.com,2024-03-12,,10,"0168 Levy Forge Suite 004, Harperfort, ND 01572"
  Jessica Khan  ,zdiazgmail.com,,94.96 USD,,
  Lance Morales  ,williamsjennifer@stone-hernandez.net,02/07/2023,381.81!!,???,UNKNOWN
RACHEL PARSONS,invalid_email,2023-04-09,375.77,ten,"07562 Vaughn Loop, Salaston, DC 68485"
FREDERICK BATES,sue78@yahoo.com,05-13-2024,103.68,ten,
kenneth daniels,invalid_email,2023-10-25,$284.16,,UNKNOWN
john harris,,2023-09-20,$390.01,5,"301 Rivera Mountains, Lake Kellitown, GA 53835"
Shirley Alvarez,,,$201.34,ten,"PSC 6206, Box 7240, APO AE 39611"
Ashley Bird,,2024-04-02,,,  
Laura Todd,gwilcox@miller-caldwell.com,03/07/2023,11.26!!,8,  
Christopher Parks,invalid_email,07-05-2024,,???,  
  Kelsey Cox  ,,25/11/2023,$164.54,,  
aaron robinson,invalid_email,,171.52!!,ten,  
cameron irwin,goodsteven@stephens,07/03/2024,,5,
SCOTT BROWN,lisadennisyahoo.com,,$246.85,???,  
JENNIFER EVANS,oallen@mathews-thomas.info,23/02/2025,$114.69,,  
Benjamin_Ballard,,11/10/2024,,,  
Ryan Rocha,robert93@hotmail,07/07/2023,$119.12,6,
caroline cortez,sabrinaweaverhotmail.com,,,,"006 Megan Fort, Lake Edwardborough, NH 49417"
mark peck,ismith@hotmail,01-29-2024,183.64 USD,ten,UNKNOWN
ANGELA CHUNG,veronicaperez@hotmail.com,18/12/2024,$350.22,8,"66687 Dana Squares, North Vincent, SD 43921"
Shannon_Davis,jasonparrish@alvarez,,241.96 USD,3,UNKNOWN
  Evelyn Campos  ,masonterri@davis.com,2023-12-05,203.35,10,
james bowers,,20/12/2023,$47.16,???,
James_Miller,invalid_email,,454.71 USD,???,UNKNOWN
Erin_Cook,,2023-10-28,306.77,ten,UNKNOWN
CHRISTINE SALINAS,ichambersturner.biz,11-17-2024,91.04,3,  
  William Byrd  ,,,$149.17,,  
MONICA BAILEY,hmuelleryahoo.com,11/12/2023,,???,"751 Williams Station Apt. 051, Lake John, OH 21490"
Jeffery_Murray,jacobsandovalyahoo.com,04-07-2023,$454.66,2,
Brian Lambert,,12/06/2023,222.38!!,???,UNKNOWN
Laura_Henderson,,,,???,UNKNOWN
Keith_Flynn,antonio38@jackson-ellis.info,2024-05-15,,10,UNKNOWN
Scott_Miller,jasonrojas@bell.com,07-06-2024,237.9!!,ten,  
  Brandy Brady  ,riddlemichelle@gmail.com,,177.24 USD,6,
Timothy Wood,invalid_email,,147.67!!,9,  
STEPHANIE FARMER,simsmary@martinez.info,04/03/2024,165.02!!,9,  
  Blake Wheeler  ,smithmatthew@gmail.com,01-12-2025,,???,"1361 Dakota Land, Derrickberg, TX 19225"
justin bishop,nbell@goodman.info,01-11-2025,464.2!!,8,"19656 Moody Gateway, Deannabury, PA 79145"
Dominique_Pugh,jamie98adkins.com,11-13-2024,158.82,???,"PSC 3761, Box 3791, APO AP 02082"
dr. bonnie valencia,amy27@gmail.com,,$473.8,,UNKNOWN
  Brittany Miller  ,invalid_email,,,???,
Troy_Mills,,10-05-2024,432.69 USD,,UNKNOWN
CHRISTOPHER AYALA,joycesmith@sanchez,07/01/2024,,ten,  
Blake_Watson,invalid_email,16/01/2025,,???,UNKNOWN
kimberly flynn,randolphandrewreed.com,,120.61!!,,  
  Angela Davis  ,invalid_email,10-28-2023,250.19,,"5574 Charles Flats Apt. 912, East Shannonmouth, DE 70745"
  Randy Hayes  ,melissa12@hotmail.com,,$12.6,ten,"52135 Palmer Springs, Jorgeburgh, MO 59771"
  Krista Davis  ,davidbrown@anderson,30/08/2024,313.51!!,,  
Joel Jackson,invalid_email,2024-02-10,$310.64,ten,"44720 Deborah Parks, Andradefort, CO 37171"
  Jason Day  ,mayokimberly@castillo-harrington.com,2025-02-21,224.62 USD,1,UNKNOWN
DEBORAH VELASQUEZ,barbaramcgrath@kelly-combs,30/07/2023,$190.55,???,
alicia woods,lindsaypetersongmail.com,2025-02-26,306.7!!,ten,  
Marie_Thompson,elizabetholsenyahoo.com,11-09-2023,233.27 USD,,"20969 Ian Island Apt. 917, West Julie, MI 42380"
  Stephen Davis  ,nsmith@gmail,09-04-2024,41.56 USD,,  
Jerry Lloyd,invalid_email,04/10/2024,103.61!!,8,
  Julian Frost  ,,02/06/2024,289.53 USD,???,UNKNOWN
JAMES BURNS,,2025-01-31,455.76!!,ten,UNKNOWN
jennifer avila,randalllorettasheppard-mcdaniel.info,02/06/2024,$340.49,2,UNKNOWN
  Rodney Hernandez  ,renee11@yahoo.com,21/05/2024,367.52,,  
sherry baker,rjohnsonyahoo.com,07-05-2023,394.32 USD,,
Patrick Schroeder,invalid_email,22/02/2024,374.55 USD,???,"785 Zachary Estate Apt. 486, Port Melissa, OK 04295"
shaun gonzalez,antoniowilliamsbush-hill.info,,,6,  
MELISSA MITCHELL,martinashley@gmail,2025-01-09,230.12 USD,???,UNKNOWN
ROBERT TORRES,wwoodardyahoo.com,,,ten,"896 Adrian Shore Suite 899, Kennethville, CA 44578"
  Margaret Hensley MD  ,edwardcannon@gmail,,62.75,,  
KAREN SHEPARD,megan82@yahoo.com,05-30-2023,$444.19,???,UNKNOWN
Mark_Carpenter,invalid_email,11-02-2023,443.28,???,UNKNOWN
ANTHONY HAYES,barbaramoore@anderson.biz,01-23-2024,$224.47,6,UNKNOWN
Kevin_Jackson,stacy78@warren,2023-12-07,$202.08,???,"Unit 7532 Box 6033, DPO AP 17698"
alex wagner,,2024-08-11,30.04 USD,ten,
MARY NELSON,,04-05-2024,$295.26,ten,"8356 Martin Plaza, Lozanofort, IA 00859"
Brandon Rodriguez,stacychangmail.com,09-28-2024,$272.41,2,
CHARLES HOLLAND,patricia94@hotmail,05-27-2023,296.48,,"16674 Vaughn Neck Suite 212, Port Erikchester, OR 63766"
meghan white,invalid_email,2023-06-11,374.1!!,,"14508 Tiffany Skyway Suite 889, South Dorothybury, MI 87494"
  Janice Combs  ,,10-19-2024,472.98,,  
BRYAN JIMENEZ,powellbarry@smith.org,,424.41!!,???,  
ASHLEY MALONE,petersonmaria@kelley-brooks.com,20/04/2023,306.11,,UNKNOWN
  Roger Lee  ,,25/12/2024,,7,"7982 Smith Street, New Savannahshire, NY 23727"
Carrie_Ochoa,msandovalgordon-cruz.org,,$228.52,,  
  Kristen Robinson  ,invalid_email,2024-05-25,159.71 USD,,
  Ryan Vaughn  ,karenjohnson@yahoo.com,2023-06-03,416.73,7,UNKNOWN
christina melton,,2023-12-26,,,"347 Tonya Club, East Jill, MS 05827"
  Justin Anderson  ,riverajenna@gmail,,434.71,,UNKNOWN
JOSHUA DAVIS,,03-18-2024,81.59!!,4,UNKNOWN
Jane_Hogan,uscott@johnson-black,2024-04-18,,???,"0435 Stacy Expressway Apt. 133, Houstonborough, UT 97674"
Maria_Case,stevensmartin@jones,2024-05-22,94.31 USD,,"6676 Stewart Loaf, New Adamland, WA 77257"
