NAME,EMAIL,ORDER_DATE,PRICE,QUANTITY
Allison Hill,jillrhodes@gmail.com,2023-12-09,126.22,2
Phillip Garcia,howardmaurice@yahoo.com,2022-02-24,249.42,10
Jesse Flowers,invalid_email@gmail.com,2022-02-24,227.36,5
Jonathan Wilkerson,josephwright@hotmail.com,2022-02-24,111.58,2
Tricia Valencia,maldonadoamanda@gmail.com,2022-02-24,303.84,8
Linda Burns,invalid_email@gmail.com,2022-02-24,249.42,5
Eric Carney,clamgmail@gmail.com,2022-02-24,492.68,5
Carlos Walls,kristenaguirre@gmail.com,2022-02-24,188.24,5
Shannon Jones,pearsonambernovak@gmail.com,2022-02-24,233.82,5
Edward Novak,brian97calhoun@gmail.com,2022-02-24,403.5,5
Krystal Stewart,elizabethedwards@yahoo.com,2022-02-24,329.44,5
William Roman,sarah12wilson-rodriguez@gmail.com,2022-02-24,374.77,5
Mandy Green,hhoffmangmail@gmail.com,2022-02-24,50.0,5
Mary Gomez,invalid_email@gmail.com,2022-02-24,249.42,5
Matthew Ross,invalid_email@gmail.com,2022-02-24,385.46,5
Joseph Drake,invalid_email@gmail.com,2022-02-24,477.14,5
Kevin Pena,invalid_email@gmail.com,2022-02-24,80.66,9
David Alvarez,operry@gmail.com,2022-02-24,464.9,4
Tiffany Vance,vmerritt@yahoo.com,2022-02-24,367.29,5
David Benson,invalid_email@gmail.com,2022-02-24,249.42,5
Morgan Marsh,invalid_email@gmail.com,2022-02-24,249.42,8
Jamie Walton,mary70@hotmail.com,2024-07-05,249.42,5
Tracey Higgins,daniel04@gmail.com,2022-02-24,38.36,6
Tyler Reid,invalid_email@gmail.com,2022-02-24,249.42,5
Mr. David Ramirez,invalid_email@gmail.com,2022-02-24,51.69,5
Joseph Coleman,jacqueline44@yahoo.com,2022-02-24,35.0,5
Adrian Ferguson,invalid_email@gmail.com,2022-02-24,74.39,5
Robert Avery,invalid_email@gmail.com,2022-02-24,249.42,1
Christine Clark,invalid_email@gmail.com,2022-02-24,243.27,5
Samantha Jones,invalid_email@gmail.com,2022-02-24,463.63,5
Joseph Ramos,wendygrahamyahoo@gmail.com,2022-02-24,112.76,10
April Booth,hbrown@yahoo.com,2022-02-24,249.42,3
Ryan Wilson,tyronemoran@gmail.com,2022-02-24,339.23,7
Sara Carpenter,invalid_email@gmail.com,2022-02-24,311.59,5
Leslie Kane,foxstephen@hotmail.com,2022-02-24,136.48,5
Cynthia Cohen,juliehamilton@gmail.com,2022-02-24,249.42,2
Rebecca Jackson,pharvey@gmail.com,2022-02-24,466.96,5
Kenneth Andrews,invalid_email@gmail.com,2022-02-24,249.42,5
Ellen Alexander,christopherphillips@hotmail.com,2022-02-24,249.42,5
Bernard Webster,zcoffeydiaz@gmail.com,2022-02-24,105.78,5
Tracy Torres,davispaige@gmail.com,2022-02-24,415.53,5
Vanessa Howard,james17gmail@gmail.com,2022-02-24,278.08,9
Rachel Carlson,vanessafernandezgmail@gmail.com,2022-02-24,249.42,5
Richard Palmer,ngordon@gmail.com,2023-05-11,185.5,5
Kimberly Nguyen,bwagner@gmail.com,2022-02-24,487.05,5
Andrea Decker,vdavis@gmail.com,2022-02-24,369.6,5
Holly Farmer,xbruce@gmail.com,2022-02-24,436.72,5
Paula Bradley,moorekaren@gmail.com,2022-02-24,115.35,5
Daniel Taylor,mark07@hotmail.com,2022-02-24,322.53,5
Donna Sullivan,lauriemontgomery@hotmail.com,2022-02-24,292.39,1
